1	50
2	100
3	50
4	100
5	150
6	50
7	100
8	50
9	100
10	150
11	50
12	100
13	50
14	100
15	150
16	50
17	100
18	50
19	100
20	150
21	50
22	100
23	50
24	100
25	150
26	50
27	100
28	50
29	100
30	150
31	50
32	100
33	50
34	100
35	150
36	50
37	100
38	50
39	100
40	150
41	50
42	100
43	50
44	100
45	150
46	50
47	100
48	50
49	100
50	150
51	50
52	100
53	50
54	100
55	150
56	50
57	100
58	50
59	100
60	150
61	50
62	100
63	50
64	100
65	150
66	50
67	100
68	50
69	100
70	150
71	50
72	100
73	50
74	100
75	150
76	50
77	100
78	50
79	100
80	150
81	50
82	100
83	50
84	100
85	150
86	50
87	100
88	50
89	100
90	150
91	50
92	100
93	50
94	100
95	150
96	50
97	100
98	50
99	100
100	150
101	50
102	100
103	50
104	100
105	150
106	50
107	100
108	50
109	100
110	150
111	50
112	100
113	50
114	100
115	150
116	50
117	100
118	50
119	100
120	150
121	50
122	100
123	50
124	100
125	150
126	50
127	100
128	50
129	100
130	150
131	50
132	100
133	50
134	100
135	150
136	50
137	100
138	50
139	100
140	150
141	50
142	100
143	50
144	100
145	150
146	50
147	100
148	50
149	100
150	150
151	50
152	100
153	50
154	100
155	150
156	50
157	100
158	50
159	100
160	150
161	50
162	100
163	50
164	100
165	150
166	50
167	100
168	50
169	100
170	150
171	50
172	100
173	50
174	100
175	150
176	50
177	100
178	50
179	100
180	150
181	50
182	100
183	50
184	100
185	150
186	50
187	100
188	50
189	100
190	150
191	50
192	100
193	50
194	100
195	150
196	50
197	100
198	50
199	100
200	150
201	50
202	100
203	50
204	100
205	150
206	50
207	100
208	50
209	100
210	150
211	50
212	100
213	50
214	100
215	150
216	50
217	100
218	50
219	100
220	150
221	50
222	100
223	50
224	100
225	150
226	50
227	100
228	50
229	100
230	150
231	50
232	100
233	50
234	100
235	150
236	50
237	100
238	50
239	100
240	150
241	50
242	100
243	50
244	100
245	150
246	50
247	100
248	50
249	100
250	150
251	50
252	100
253	50
254	100
255	150
256	50
257	100
258	50
259	100
260	150
261	50
262	100
263	50
264	100
265	150
266	50
267	100
268	50
269	100
270	150
271	50
272	100
273	50
274	100
275	150
276	50
277	100
278	50
279	100
280	150
281	50
282	100
283	50
284	100
285	150
286	50
287	100
288	50
289	100
290	150
291	50
292	100
293	50
294	100
295	150
296	50
297	100
298	50
299	100
300	150
301	50
302	100
303	50
304	100
305	150
306	50
307	100
308	50
309	100
310	150
311	50
312	100
313	50
314	100
315	150
316	50
317	100
318	50
319	100
320	150
321	50
322	100
323	50
324	100
325	150
326	50
327	100
328	50
329	100
330	150
331	50
332	100
333	50
334	100
335	150
336	50
337	100
338	50
339	100
340	150
341	50
342	100
343	50
344	100
345	150
346	50
347	100
348	50
349	100
350	150
351	50
